t_s	vx_mm_s	vy_mm_s	vz_mm_s
11.250515	-8.552372	-13.962011	0.052712
11.270474	-19.264902	-22.560236	-0.501608
11.290419	-6.430703	-9.694974	-0.545881
11.310421	-9.111330	-10.995731	0.043889
11.330444	-17.194778	-21.454122	0.678511
11.350441	-10.145377	-11.490639	-0.562569
11.370441	-8.106504	-10.479531	0.632933
11.390451	-18.256480	-21.943238	0.060493
11.410465	-6.435358	-9.637778	-0.556007
11.430422	-16.276584	-20.973869	1.774013
11.450420	-6.449954	-9.637035	-0.560808
11.470420	-9.152817	-10.959108	0.018205
11.490438	-18.668291	-22.067921	-2.867331
11.510460	-9.154348	-10.936501	0.011884
11.530447	-9.173990	-10.951855	0.009424
11.550531	-15.211797	-20.290034	2.321457
11.570420	-9.230091	-10.995476	0.001759
11.590444	-9.171574	-10.917685	-0.000730
11.610384	-18.431992	-21.916796	-0.008929
11.630419	-7.498827	-10.081649	-1.175399
11.650419	-8.713646	-13.894048	-0.009749
11.670422	-18.406309	-21.818465	-0.026938
11.690423	-9.209712	-10.904909	-0.017192
11.710420	-9.214925	-10.903020	-0.019676
11.730419	-15.363098	-20.297758	2.270691
11.750552	-9.163652	-10.819418	-0.027166
11.770445	-8.800737	-13.932927	-0.029989
11.790445	-15.761356	-20.449369	-0.627796
11.810421	-10.276746	-11.386911	-0.636091
11.830421	-13.170930	-15.969955	1.677466
11.850483	-9.589390	-11.012320	-2.907539
11.870447	-9.270659	-10.883853	-0.044575
11.890420	-14.991407	-23.220928	2.221567
11.910439	-9.256734	-10.842354	-0.052121
11.930444	-9.636915	-11.025401	-2.922109
11.950462	-16.476553	-20.675548	1.599254
11.970419	-6.579899	-9.550055	-0.613532
11.990442	-9.273115	-10.823154	-0.062708
12.010567	-15.397449	-20.049842	2.166942
12.030422	-9.734517	-11.083207	-2.952740
12.050445	-6.205122	-9.326686	2.238660
12.070420	-18.176717	-24.616937	-0.151720
12.090444	-7.609242	-9.986247	-1.221404
12.110463	-9.304613	-10.796557	-0.080995
12.130420	-19.127977	-18.693731	-0.169964
12.150419	-9.324169	-10.797563	-0.088531
12.170423	-19.100812	-18.633249	-0.184477
12.190445	-6.681011	-6.354966	2.212512
12.210443	-9.336703	-10.785722	-0.098704
12.230399	-19.167297	-18.656809	-0.205301
12.250490	-9.743335	-7.797615	-0.105677
12.270480	-18.340201	-21.374698	2.624071
12.290517	-12.863115	-9.284823	-2.419905
12.310444	-19.228666	-18.650967	-0.237360
12.330441	-10.394477	-11.247090	-0.721051
12.350446	-9.801239	-7.814510	-0.124431
12.370444	-19.182631	-18.563278	-0.256419
12.390419	-9.390142	-10.756049	-0.132090
12.410421	-9.010849	-10.561701	2.697261
12.430503	-22.208821	-19.927711	-2.575218
12.450419	-6.751425	-6.354899	2.173368
12.470428	-12.486467	-12.192226	-2.451213
12.490421	-18.862708	-18.346327	2.527784
12.510418	-10.805269	-11.380895	-3.576861
12.530419	-16.142931	-17.027322	1.992517
12.550482	-9.805051	-7.759965	-0.159924
12.570446	-16.186459	-17.045418	1.980443
12.590396	-9.447260	-10.724669	-0.168551
12.610467	-19.205615	-18.401155	-0.342492
12.630444	-10.890241	-8.267220	-0.775440
12.650420	-9.447323	-10.697321	-0.178294
12.670515	-19.204321	-18.357380	-0.361907
12.690443	-9.480143	-10.713060	-0.186221
12.710443	-9.078544	-10.495578	2.620178
12.730462	-22.402176	-19.865789	-2.686218
12.750462	-9.459559	-10.659730	-0.196409
12.770442	-9.880254	-7.757057	-0.199106
12.790442	-18.564596	-21.128804	2.395816
12.810438	-9.879571	-7.743844	-0.207562
