t_s	x_mm	y_mm	z_mm	roll_rad	pitch_rad	yaw_rad	fx_N	fy_N	fz_N
4.950445	596.198282	69.903862	98.712405	0.000148	0.000671	1.569896	-15.795873	-14.872585	9.994789
4.970444	596.585318	70.323468	98.714199	0.000148	0.000671	1.569896	-16.487410	-11.924112	10.342882
4.990421	596.716005	70.505995	98.668697	0.000188	0.000774	1.569896	-15.243114	-11.770470	10.482551
5.010444	596.909350	70.715974	98.669465	0.000188	0.000774	1.569896	-15.661649	-12.337278	10.653604
5.030422	597.254380	71.180867	98.694060	0.000147	0.000671	1.569996	-7.627995	-7.844853	10.459907
5.050421	597.447493	71.391084	98.694697	0.000147	0.000671	1.569896	-8.806220	-11.864575	10.360011
5.070445	597.619682	71.592243	98.683315	0.000187	0.000774	1.569896	-13.338097	-18.507845	10.431855
5.090440	597.757493	71.778435	98.695139	0.000187	0.000775	1.569996	-16.498903	-19.987991	10.533103
5.110420	597.950398	71.988861	98.695645	0.000187	0.000775	1.569896	-13.300970	-13.661589	10.414336
5.130482	598.335988	72.409938	98.696509	0.000187	0.000775	1.569896	-13.251771	-11.396913	10.271470
5.150439	598.657015	72.827927	98.708543	0.000290	0.000734	1.569896	-12.724667	-8.394886	9.938614
5.170455	598.657015	72.827927	98.708543	0.000290	0.000734	1.569896	-10.443550	-6.602397	9.756642
5.190421	599.042030	73.249576	98.709047	0.000290	0.000735	1.569896	-8.738552	-7.917876	9.611874
5.210420	599.209333	73.424607	98.732613	0.000146	0.000671	1.569896	-8.466499	-11.040826	9.480958
5.230491	599.593931	73.846695	98.732854	0.000146	0.000671	1.569996	-8.900810	-10.211856	9.230472
5.250463	599.776942	74.078673	98.732900	0.000249	0.000631	1.569996	-8.332067	-8.650067	9.141848
5.270431	599.969054	74.289901	98.732896	0.000249	0.000631	1.569996	-13.797864	-8.600226	9.245790
5.290448	600.341391	74.619224	98.662837	0.000225	0.000879	1.569896	-17.326464	-13.469425	9.756754
5.310418	600.554135	74.839848	98.674630	0.000185	0.000775	1.569996	-16.981183	-12.992332	9.994493
5.330420	600.808516	75.078989	98.720826	0.000145	0.000672	1.569996	-13.969610	-11.910194	10.111162
5.350483	601.199517	75.442127	98.720238	0.000145	0.000672	1.569896	-12.615245	-16.928073	10.504088
